1	1
1	82
2	10
2	44
3	1
3	10
3	27
5	45
6	0
7	0
8	0
8	85
9	48
9	85
10	64
11	14
12	48
12	134
13	0
13	31
14	2
15	10
15	20
16	126
17	4
17	5
17	11
17	42
17	46
18	4
18	5
18	46
19	2
19	8
19	76
20	12
20	57
21	25
21	29
21	135
21	197
22	29
22	93
23	3
23	4
23	48
24	35
25	0
25	28
25	51
25	85
26	35
26	51
27	15
27	101
27	110
28	70
28	96
29	17
30	37
30	73
31	24
31	37
31	88
32	0
32	86
33	0
33	31
33	143
34	0
34	19
35	5
35	52
36	3
36	4
36	5
36	52
37	21
37	69
37	74
38	71
38	168
39	6
39	27
40	1
40	131
41	0
41	7
42	1
42	9
43	15
44	10
44	14
44	36
44	110
45	0
45	54
46	79
47	7
47	33
48	6
48	89
49	2
49	8
50	24
51	13
51	36
52	26
53	3
53	4
53	5
54	17
55	12
55	127
56	64
56	146
57	0
57	109
57	165
58	11
58	21
58	22
58	81
58	108
59	21
59	81
60	20
60	81
61	6
62	90
63	98
64	14
64	188
65	0
66	146
67	24
67	169
68	0
68	7
68	41
68	42
68	122
69	114
70	4
70	8
71	1
72	0
72	13
72	54
72	97
72	113
72	135
73	135
74	135
74	138
75	138
76	29
76	72
76	99
76	138
77	51
77	138
78	11
78	41
78	63
79	2
79	20
79	109
79	128
80	62
80	162
81	24
81	88
82	24
83	1
84	175
85	2
85	8
85	140
86	3
86	4
86	59
86	182
87	1
87	120
88	34
88	90
89	1
89	77
90	44
90	58
91	1
91	18
92	17
93	29
93	51
93	138
94	17
94	179
96	29
96	163
97	29
97	51
97	170
99	1
99	61
100	37
101	2
101	12
102	64
103	3
103	4
104	0
104	7
104	63
104	111
105	0
105	34
106	141
107	33
108	12
108	44
108	58
109	11
109	80
110	0
110	12
110	80
110	171
111	39
113	39
114	6
114	11
114	44
114	47
114	58
114	132
115	1
115	7
115	13
115	179
116	2
116	16
117	5
117	80
117	85
118	3
118	4
118	17
119	0
119	94
120	8
121	1
121	7
122	15
122	19
124	61
124	67
125	0
125	22
125	52
127	67
127	158
127	192
128	5
128	46
129	1
129	25
129	73
130	7
130	13
130	17
131	1
131	25
132	1
132	25
133	1
133	25
134	12
134	47
134	132
135	123
136	3
136	4
136	43
137	0
137	70
137	96
138	0
138	70
138	164
139	23
139	70
139	96
140	26
140	129
141	45
141	128
142	44
142	57
142	58
142	79
142	121
143	12
143	169
144	12
145	12
145	35
146	2
146	8
146	14
147	24
148	111
148	182
149	163
150	12
150	180
151	175
152	72
152	76
152	186
152	193
153	36
153	152
154	33
154	71
155	1
155	129
156	7
156	12
157	50
157	54
158	50
159	3
159	144
160	0
160	2
162	3
162	4
162	6
162	13
162	183
163	26
163	45
163	60
164	1
164	26
164	121
165	12
166	7
166	12
166	26
167	63
167	98
168	0
168	158
169	17
169	46
170	0
170	11
170	29
171	6
171	29
171	158
172	3
172	4
173	5
173	28
174	3
174	4
174	6
175	6
175	124
175	198
176	32
176	40
176	130
177	32
177	40
178	13
178	34
179	17
179	181
180	6
180	63
181	13
181	18
181	47
182	0
182	95
182	183
183	5
183	136
184	0
184	7
184	75
185	0
185	75
186	44
186	58
187	12
187	14
188	48
188	183
189	3
189	4
189	5
189	60
191	1
192	12
192	118
193	6
193	73
194	17
194	112
194	189
195	0
195	1
195	33
195	110
196	35
197	0
199	5
199	28
199	60
199	110
200	10
200	110
201	1
201	42
203	2
203	5
203	68
204	0
204	11
204	28
205	0
205	2
205	172
206	45
206	170
207	3
208	23
208	71
209	0
209	38
210	0
211	0
211	27
212	50
213	0
213	2
214	0
214	38
214	77
216	11
216	23
216	61
217	3
217	4
217	5
217	46
218	176
219	30
221	5
221	46
221	100
222	1
222	114
224	2
224	43
