0	[946, 224]
1	[83, 2, 83]
2	[45, 11]
3	[2, 28, 11]
4	[316]
5	[46]
6	[1186, 1]
7	[220, 1]
8	[86, 1]
9	[86, 49]
10	[295, 65]
11	[15]
12	[136, 49]
13	[32, 1]
14	[3]
15	[11, 21]
16	[127, 206]
17	[12, 5, 43, 47, 6]
18	[5, 47, 6]
19	[3, 802, 77, 9]
20	[58, 13]
21	[137, 201, 30, 26, 636]
22	[94, 30]
23	[5, 4, 49]
24	[36]
25	[52, 29, 86, 1]
26	[52, 36]
27	[231, 102, 111, 947, 16]
28	[71, 97, 217]
29	[0, 0, 0, 18]
30	[74, 637, 303, 38]
31	[303, 38, 89, 25]
32	[87, 1]
33	[146, 32, 1]
34	[20, 1]
35	[53, 254, 6]
36	[53, 5, 4, 6]
37	[75, 70, 22]
38	[72, 171]
39	[28, 7]
40	[133, 2]
41	[8, 1]
42	[10, 2]
43	[16]
44	[37, 15, 111, 11]
45	[1, 529, 55, 948, 0, 489]
46	[80, 1187]
47	[8, 34]
48	[90, 7]
49	[3, 9]
50	[128, 25]
51	[37, 14]
52	[27]
53	[5, 4, 6]
54	[18]
55	[129, 13]
56	[149, 65]
57	[168, 110, 0, 0, 1]
58	[12, 82, 22, 23, 109]
59	[82, 22]
60	[82, 21]
61	[803, 0, 7]
62	[0, 638, 91]
63	[99]
64	[191, 15]
65	[377, 1]
66	[149]
67	[172, 25]
68	[8, 1, 123, 43, 42]
69	[804, 0, 308, 115]
70	[5, 1188, 9]
71	[1189, 2]
72	[98, 55, 14, 137, 114, 1]
73	[137, 530, 716, 949]
74	[402, 579, 140, 137]
75	[402, 579, 140]
76	[100, 73, 30, 140]
77	[52, 140]
78	[12, 64, 42]
79	[130, 110, 3, 21]
80	[63, 165]
81	[89, 25]
82	[25]
83	[2]
84	[178]
85	[142, 3, 9]
86	[185, 60, 5, 4]
87	[0, 218, 2, 1190, 121]
88	[35, 91]
89	[78, 2]
90	[45, 59]
91	[19, 2]
92	[0, 0, 0, 1191, 1192, 403, 18]
93	[140, 52, 30]
94	[362, 182, 18]
